cart_velocity,pole_angular_velocity,pole_angle,motor_command
-53.27336,0,-0.008726646,0.6755332
-39.717033,1.5734448,0.3962714,0.6755332
-26.160707,-0.123727895,0.39420927,0.6755332
-12.604382,-0.16945916,0.39138496,0.6755332
0.95194435,-0.21552776,0.38779283,0.6755332
14.50827,-0.26204675,0.38342535,0.6755332
28.064596,-0.3091264,0.37827325,-0.30416995
25.058727,-0.24172978,0.37424442,-0.30416995
22.052856,-0.17509605,0.37132615,-0.30416995
19.046986,-0.10909686,0.36950788,-0.30416995
16.041115,-0.0436142,0.368781,-0.30416995
13.035245,0.021466626,0.3691388,-0.30416995
10.029375,0.08623747,0.37057605,-0.30416995
7.023505,0.15086837,0.37309054,-0.30416995
4.0176353,0.2154542,0.37668145,-0.30416995
1.0117655,0.28009644,0.38134968,-0.30416995
-1.9941044,0.34491023,0.3870982,-0.30416995
-4.9999743,0.4099827,0.39393124,-0.30416995
-8.005844,0.47547734,0.40185586,-0.04044348
-8.005844,0.5207659,0.41053528,-0.04044348
-8.005844,0.56677616,0.41998154,-0.60055816
-17.446972,0.6780839,0.43128294,-0.60055816
-26.8881,0.7898021,0.4444463,-0.60055816
-36.329227,0.9020636,0.4594807,-0.60055816
-45.770355,1.0149803,0.47639704,-0.60055816
-55.211483,1.128663,0.49520808,-0.60055816
-64.65261,1.2432008,0.5159281,-0.60055816
-74.09374,1.3587022,0.53857315,-0.60055816
-83.534874,1.4751775,0.56315947,-0.60055816
-92.976006,1.5927036,0.5897045,-0.60055816
-102.41714,1.7112979,0.6182262,-0.60055816
-111.85827,1.8309727,0.6487424,-0.60055816
-121.2994,1.9517177,0.681271,-0.60055816
-130.74052,2.0734813,0.7158291,-0.60055816
-140.18166,2.1962016,0.75243247,-0.19710708
-140.18166,2.2682083,0.79023594,-0.19710708
-140.18166,2.3430593,0.82928693,-0.19710708
-140.18166,2.4207027,0.86963207,-0.19710708
-140.18166,2.5010767,0.9113167,-0.19710708
-140.18166,2.584105,0.95438516,-0.19710708
-140.18166,2.669692,0.99888,-0.19710708
-140.18166,2.7577107,1.0448419,-0.19710708
-140.18166,2.8480234,1.092309,-0.19710708
-140.18166,2.9404643,1.1413168,-0.19710708
-140.18166,3.0348444,1.1918975,-0.19710708
-140.18166,3.1309392,1.2440798,0.98246837
-122.26155,3.1854722,1.297171,0.98246837
-104.341446,3.2482734,1.351309,0.98246837
-86.42134,3.3192365,1.4066296,0.98246837
-68.501236,3.398204,1.4632663,0.98246837
-50.58113,3.4850235,1.52135,0.98246837
-32.661026,3.5794916,1.5810082,0.98246837
-14.740921,3.681374,1.6423644,0.98246837
3.179184,3.790387,1.7055376,0.98246837
21.099289,3.9062047,1.770641,0.98246837
39.019394,4.028419,1.8377813,0.98246837
56.9395,4.1565604,1.9070573,0.98246837
74.859604,4.290092,1.9785588,0.98246837
92.77971,4.428352,2.0523646,0.5455246
103.951996,4.547236,2.128152,0.5455246
115.12428,4.666177,2.2059214,0.5455246
126.29657,4.7843127,2.28566,0.5455246
137.46886,4.90076,2.3673394,0.5455246
148.64114,5.0145416,2.450915,0.5455246
159.81343,5.1246395,2.5363257,0.6806053
173.4607,5.245215,2.623746,0.6806053
187.10796,5.360665,2.7130904,0.6806053
200.75522,5.4697647,2.804253,0.6806053
214.40248,5.5712657,2.8971076,0.6806053
228.04974,5.664024,2.991508,-0.09559661
228.04974,5.645879,3.085606,-0.09559661
228.04974,5.617386,-3.103956,-0.09559661
228.04974,5.5785847,-3.0109797,-0.09559661
228.04974,5.5296283,-2.9188192,-0.09559661
228.04974,5.470764,-2.8276398,-0.09559661
228.04974,5.402337,-2.7376008,-0.09559661
228.04974,5.324781,-2.6488545,-0.09559661
228.04974,5.238608,-2.5615444,-0.09559661
228.04974,5.1444054,-2.4758043,-0.09559661
228.04974,5.042799,-2.3917577,-0.29926485
225.16968,4.9186926,-2.3097794,-0.29926485
222.28961,4.7900405,-2.2299454,-0.9054182
