iter,avg_reward,avg_len,episodes,std,loss
0,174.9102,264.53,176,0.4989,99.3122
1,272.9377,372.15,157,0.4983,104.7637
2,415.7083,522.30,122,0.4985,108.4573
3,375.6497,448.37,129,0.4987,121.2759
4,498.9056,618.35,105,0.4990,98.4299
5,420.8721,541.07,116,0.4990,103.2267
6,499.8873,658.00,95,0.4989,101.5422
7,617.5352,729.51,83,0.4990,114.1511
8,687.7438,857.56,71,0.4992,102.2845
9,769.7042,964.69,70,0.4994,98.7846
10,997.0279,1245.52,50,0.4998,95.4363
11,852.3412,1164.83,52,0.4997,94.8641
12,1195.7250,1468.38,34,0.4994,84.5085
13,1202.4599,1772.47,30,0.4991,94.3406
14,1604.8471,2320.64,25,0.4994,81.8300
15,1875.5837,2570.07,28,0.4994,96.5773
16,1923.2940,2791.87,23,0.5000,81.9014
17,2038.3445,2761.95,19,0.5004,89.4364
18,2242.5838,2882.39,28,0.5005,82.3257
19,2005.2021,2909.50,20,0.5014,78.7604
20,1933.7161,3000.00,18,0.5019,73.1231
21,2092.4653,3000.00,26,0.5025,65.4766
22,1964.6050,2893.32,22,0.5030,84.6589
23,2107.9451,3000.00,21,0.5034,96.2568
24,2138.3023,2873.48,23,0.5031,70.2375
25,2112.1263,3000.00,21,0.5023,79.8843
26,2092.9596,3000.00,21,0.5011,90.0519
27,2103.6974,2809.32,25,0.5001,76.2571
28,2448.5902,3000.00,21,0.4999,74.8610
29,1679.5152,2462.46,28,0.5000,79.4199
30,1891.4146,2791.92,24,0.5003,74.2405
31,1807.5160,2450.13,30,0.5003,63.5805
32,1470.8218,2290.00,32,0.4999,78.6814
33,838.0412,1239.27,60,0.5002,88.4045
34,1028.1973,1420.00,32,0.5012,75.6449
35,1534.7978,2139.00,35,0.5019,58.6888
36,1304.3574,1818.82,34,0.5030,69.8533
37,989.4840,1373.05,62,0.5033,87.3282
38,972.7382,1219.60,43,0.5028,84.1649
39,1211.3483,1323.28,47,0.5020,80.0186
40,818.2847,1085.12,91,0.5021,73.0241
41,961.0802,1112.66,38,0.5021,59.7315
42,1176.9921,1606.04,28,0.5022,57.4219
43,1829.4942,2467.69,32,0.5028,66.5394
44,1755.9130,2648.58,19,0.5035,62.5111
45,2184.8154,2821.16,25,0.5042,51.4283
46,2066.1770,2655.64,25,0.5041,55.1247
47,2031.3887,2807.90,21,0.5023,64.6777
48,2092.8346,3000.00,23,0.5003,48.6949
49,2166.1782,3000.00,23,0.4998,53.5164
50,1910.2588,3000.00,20,0.5002,53.3687
51,2168.8519,3000.00,23,0.5000,52.9633
52,2173.0724,3000.00,22,0.5000,56.5114
53,2207.0448,3000.00,20,0.4998,63.9869
54,2266.2679,3000.00,22,0.4992,65.8222
55,2304.5572,3000.00,23,0.4975,47.1860
56,2106.2676,2793.36,22,0.4963,53.3821
57,2307.1372,3000.00,22,0.4954,51.9378
58,2334.3352,3000.00,23,0.4947,52.6011
59,2221.9631,3000.00,19,0.4951,48.0116
60,2341.6265,3000.00,23,0.4953,50.7082
61,2292.1085,3000.00,22,0.4943,40.3960
62,2348.3700,3000.00,19,0.4934,44.7711
63,2145.7402,3000.00,23,0.4924,50.3042
64,2422.4106,3000.00,24,0.4920,42.8766
65,2202.7847,2939.65,20,0.4918,51.4786
66,2221.3197,2958.05,22,0.4909,37.2235
67,2138.6176,2689.21,29,0.4907,47.3620
68,2255.6918,3000.00,17,0.4903,31.3526
69,2050.2957,2957.19,21,0.4906,45.3654
70,2219.4773,2757.87,30,0.4902,41.6040
71,1749.3366,2427.54,24,0.4892,40.7646
72,1749.8807,2505.17,29,0.4885,53.0077
73,2067.2749,2758.24,25,0.4875,46.5754
74,2285.3801,2791.90,21,0.4866,40.0349
75,1985.0660,2573.07,27,0.4854,39.2372
76,2207.8939,2790.50,24,0.4842,36.1863
77,1869.5097,2467.80,25,0.4835,40.3962
78,2195.2513,2913.73,22,0.4815,37.4327
79,2055.2695,2723.78,23,0.4792,36.6797
80,2057.9430,2822.67,24,0.4777,35.2417
81,1885.7388,2364.38,34,0.4758,42.9529
82,1643.3571,2253.26,23,0.4739,41.6187
83,1931.4603,2500.57,23,0.4729,38.3457
84,2098.7406,2624.74,35,0.4717,30.6420
85,2161.3474,2643.36,14,0.4704,32.1024
86,1972.8326,2636.19,26,0.4689,35.7996
87,2343.9288,2943.83,29,0.4676,39.0395
88,2200.1763,2806.64,14,0.4662,30.8884
89,2353.5347,2864.15,27,0.4644,33.8178
90,2244.1466,2792.29,28,0.4644,30.7403
91,1884.7537,2315.95,21,0.4657,36.0519
92,2091.3046,2705.23,30,0.4645,30.2764
93,1917.2857,2510.18,22,0.4606,32.6351
94,2294.3674,2868.72,18,0.4578,26.8647
95,2302.4291,2831.87,31,0.4550,25.9037
96,2001.2839,2601.68,22,0.4513,27.0249
97,2058.6260,2696.25,24,0.4483,29.0325
