iter,avg_reward,avg_len,episodes,std,loss,score_uu,score_ud,score_du,score_dd
0,156.0928,177.92,324,0.4992,117.3172,-0.2200,nan,nan,nan
1,192.9806,215.74,294,0.4982,122.2196,-0.2004,nan,nan,nan
2,236.1992,258.87,223,0.4977,106.1131,-0.2441,nan,nan,nan
3,321.1135,395.78,151,0.4977,90.7013,-0.3074,nan,nan,nan
4,409.6471,465.26,97,0.4981,102.9229,-0.2749,nan,nan,nan
5,735.7976,816.84,45,0.4983,85.5207,-0.3468,nan,nan,nan
6,1242.6328,1716.35,31,0.4986,80.8214,-0.3601,nan,nan,nan
7,1151.1290,1446.72,54,0.4984,100.6572,-0.2608,nan,nan,nan
8,1413.4898,1696.92,37,0.4982,96.8838,-0.2896,nan,nan,nan
9,1274.4507,1452.17,46,0.4970,102.7597,-0.2605,nan,nan,nan
10,1468.7367,1634.63,43,0.4960,118.5158,-0.2008,nan,nan,nan
11,1189.0391,1349.83,42,0.4953,124.9859,-0.1576,nan,nan,nan
12,2071.5006,2204.97,30,0.4949,133.0434,-0.1379,nan,nan,nan
13,2241.8185,2047.65,26,0.4946,138.9183,-0.1056,nan,nan,nan
14,2494.1888,2473.57,30,0.4945,136.7375,-0.1136,nan,nan,nan
15,2377.0280,2273.00,25,0.4946,131.5965,-0.1038,nan,nan,nan
16,2756.9424,2517.74,27,0.4939,138.4286,-0.0777,nan,nan,nan
17,2553.1579,2486.48,27,0.4931,144.0811,-0.0653,nan,nan,nan
18,2444.5466,2245.37,27,0.4928,139.5423,-0.0595,nan,nan,nan
19,2940.4749,2654.74,23,0.4924,142.1253,-0.0521,nan,nan,nan
20,2788.8423,2529.50,26,0.4924,144.0490,-0.0428,nan,nan,nan
21,2608.4963,2396.16,32,0.4924,139.6185,-0.0345,nan,nan,nan
22,2414.5908,2171.73,33,0.4920,133.8635,-0.0271,nan,nan,nan
23,2444.1036,2170.88,24,0.4920,154.6246,0.0238,nan,nan,nan
24,2551.3543,2193.53,32,0.4917,153.7514,0.0171,nan,nan,nan
25,2650.6531,2264.47,32,0.4912,140.9484,-0.0044,nan,nan,nan
26,2898.5807,2528.88,17,0.4914,149.4044,0.0177,nan,nan,nan
27,2846.3397,2411.17,29,0.4906,142.6755,0.0190,nan,nan,nan
28,3009.7522,2670.00,33,0.4894,137.2933,0.0108,nan,nan,nan
29,2727.8031,2286.13,15,0.4886,142.1415,0.0031,nan,nan,nan
30,3307.6030,2845.07,28,0.4879,126.3324,-0.0449,nan,nan,nan
31,3073.0451,2747.52,27,0.4873,129.6937,-0.0293,nan,nan,nan
32,2916.0055,2604.39,18,0.4865,131.9689,0.0003,nan,nan,nan
33,3219.5752,2784.32,28,0.4859,126.7098,-0.0185,nan,nan,nan
34,3072.4152,2775.70,23,0.4857,119.2447,-0.0347,nan,nan,nan
35,3069.7207,2697.17,23,0.4857,119.5470,-0.0561,nan,nan,nan
36,3073.8565,2741.26,23,0.4858,112.9208,-0.0699,nan,nan,nan
37,3359.5686,3000.00,22,0.4853,102.3667,-0.0992,nan,nan,nan
38,2577.2065,2441.90,30,0.4843,119.3263,-0.0342,nan,nan,nan
